TreeID,TMP_RandomR2,PRE_RandomR2,DTR_RandomR2
332,0.35,0.256,0.097
333,0.345,0.249,0.087
334,0.351,0.277,0.103
335,0.333,0.263,0.09
336,0.345,0.276,0.099
337,0.371,0.265,0.096
338,0.345,0.264,0.095
339,0.324,0.239,0.091
340,0.363,0.285,0.102
341,0.365,0.278,0.1
342,0.348,0.275,0.109
343,0.36,0.269,0.088
344,0.356,0.289,0.112
345,0.352,0.29,0.099
346,0.344,0.265,0.101
347,0.351,0.278,0.11
348,0.337,0.261,0.085
349,0.36,0.271,0.1
350,0.335,0.258,0.096
351,0.325,0.237,0.098
352,0.335,0.272,0.099
353,0.363,0.276,0.095
354,0.363,0.267,0.095
355,0.354,0.249,0.087
356,0.341,0.251,0.091
357,0.359,0.244,0.076
358,0.345,0.249,0.101
359,0.367,0.261,0.103
360,0.343,0.267,0.102
361,0.343,0.281,0.097
362,0.345,0.269,0.102
363,0.357,0.252,0.088
364,0.345,0.264,0.086
365,0.367,0.297,0.107
366,0.353,0.243,0.092
367,0.339,0.26,0.099
368,0.343,0.257,0.108
369,0.362,0.271,0.095
370,0.385,0.278,0.112
371,0.357,0.27,0.093
372,0.343,0.245,0.09
373,0.341,0.247,0.092
374,0.36,0.271,0.094
375,0.345,0.262,0.098
376,0.34,0.266,0.103
377,0.347,0.259,0.093
378,0.355,0.281,0.1
379,0.37,0.259,0.096
380,0.365,0.31,0.116
381,0.353,0.271,0.1
382,0.34,0.256,0.088
383,0.351,0.254,0.092
384,0.348,0.255,0.099
385,0.352,0.275,0.121
386,0.344,0.268,0.105
387,0.347,0.263,0.106
388,0.348,0.268,0.101
389,0.356,0.275,0.111
390,0.342,0.282,0.108
391,0.365,0.271,0.092
392,0.358,0.273,0.107
393,0.343,0.253,0.088
394,0.332,0.261,0.091
395,0.349,0.253,0.121
396,0.349,0.259,0.095
397,0.363,0.264,0.113
398,0.338,0.252,0.092
399,0.346,0.253,0.1
400,0.348,0.288,0.101
