species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Tapinoma_minutum,Dolichoderinae,239.00,26,"Kaspari & Vargo, 1995",0,19.82059091,3.025,19.98863636,0.1785,132.0690909,95.18145455,106.6227273,0.7485,9.939090909,1.352681818,9.968181818,0.131772727
Temnothorax_pergandei,Myrmicinae,51.73,26,"Heinze et al., 1995; King & Porter, 2007; Guenard et al., 2016",0,15.92312857,7.723857143,16.27107143,0.526964286,92.92009286,52.75541786,84.11589286,0.606278571,12.84212143,1.570221429,12.83160714,0.122928571
Temnothorax_texanus,Myrmicinae,50.00,1,"King & Porter, 2007",0,14.69937234,7.694202128,15.02765957,0.663425532,92.68291489,51.80706383,84.1962766,0.571319149,12.01553191,1.585329787,12.06276596,0.133648936
Tetramorium_bicarinatum,Myrmicinae,6272.00,1,GAGA consortium,0,23.79881667,2.569833333,24.21583333,0.1252,165.6991833,108.1908333,144.1716667,0.692,8.984883333,1.273783333,8.866666667,0.1381
Tetramorium_simillimum,Myrmicinae,300.00,1,"King & Porter, 2007",0,22.89689231,2.431692308,23.36538462,0.112553846,84.84386154,76.33646154,63.19,1.074076923,11.63673846,1.752415385,11.59307692,0.149630769
Tetramorium_spinosum,Myrmicinae,70.00,1,"Bertelsmeier et al., 2013",0,19.81513483,5.156292135,20.07921348,0.272522472,49.85003371,49.77075843,30.38117978,1.052865169,14.53493258,1.850719101,14.5988764,0.127657303
Tetraponera_rufonigra,Pseudomyrmecinae,24.00,1,GAGA consortium,0,25.52287755,2.3265,26.0372449,0.096586735,158.2733622,140.4136071,115.5252551,0.915673469,9.908872449,2.153443878,9.817602041,0.209806122
Trachymyrmex_carinatus,Myrmicinae,100.00,1,"Ferguson-Gow, 2014",0,17.80672727,6.524,17.80681818,0.384,39.20427273,39.0425,26.08863636,1.095818182,16.46127273,2.026590909,16.56590909,0.122772727
Trachymyrmex_septentrionalis,Myrmicinae,640.66,193,"Ferguson-Gow, 2014; Holldobler & Wilson, 1990; King & Porter, 2007",0,17.59605263,7.156915789,17.89947368,0.431968421,96.90231579,56.28494035,87.27859649,0.607270175,12.60984912,1.497863158,12.57894737,0.119077193
Trachymyrmex_smithi,Myrmicinae,652.50,4,"Ferguson-Gow, 2014",0,17.86167647,6.805264706,18.20147059,0.396882353,35.48738235,32.51761765,26.08676471,0.982176471,16.02997059,1.7855,16.05735294,0.111441176
Typhlomyrmex_rogenhoferi,Ectatomminae,1150.00,2,"Brown, 1965; GAGA consortium",0,22.8691828,1.319741935,23.0311828,0.061086022,180.847828,113.6434194,165.6016129,0.665451613,10.11696774,1.174698925,9.956989247,0.113193548
Veromessor_pergandei,Myrmicinae,26000.00,14,"Kwapich et al., 2017",1,18.39458462,6.834484615,18.06961538,0.386684615,22.77657692,26.99293077,12.73576923,1.248776923,15.35507692,1.882984615,15.51538462,0.123953846
Xenomyrmex_floridanus,Myrmicinae,50.00,1,"King & Porter, 2007",0,23.06805882,3.659333333,23.53137255,0.161078431,113.2919804,83.38807843,94.69607843,0.739411765,10.70582353,1.262980392,10.64117647,0.117627451
