species,subfamily,colony.size,colony.size.sample.size,colony.size.ref,poly_id,TMP_avg,TMP_sd,TMP_med,TMP_cv,PRE_avg,PRE_sd,PRE_med,PRE_cv,DTR_avg,DTR_sd,DTR_med,DTR_cv
Tapinoma_erraticum,Dolichoderinae,1000.00,1,"Beckers et al., 1989",0,11.0339319,6.362508961,10.81451613,1.303103943,66.55822939,38.24898746,60.3061828,0.59209319,9.165442652,1.977134409,9.392383513,0.217111111
Tapinoma_madeirense,Dolichoderinae,7000.00,1,"Parr et al., 2017",0,12.86532584,5.797505618,12.14269663,0.471505618,61.86383146,42.40795506,53.39775281,0.704550562,9.910966292,1.822786517,9.920224719,0.183123596
Tapinoma_simrothi,Dolichoderinae,65952.00,1,"Bertelsmeier et al., 2013",1,15.59800568,6.162897727,15.30568182,0.467443182,44.91296023,39.27041477,34.70142045,0.963602273,10.80085227,1.734806818,10.84261364,0.162835227
Temnothorax_allardycei,Myrmicinae,60.00,1,"Cole et al., 1994",1,23.96666667,3.306,24.35555556,0.139,115.3073333,87.208,94.67777778,0.757,9.402777778,1.048,9.322222222,0.110444444
Temnothorax_ambiguus,Myrmicinae,40.00,18,"Blatrix & Herbers, 2003",0,8.370335294,9.737494118,8.978529412,0.890223529,77.86482941,37.28003529,72.18970588,0.495929412,11.17364706,1.817341176,11.31823529,0.163858824
Temnothorax_bradleyi,Myrmicinae,50.00,1,"King & Porter, 2007",0,18.78105263,6.300631579,18.98947368,0.351421053,115.4558421,63.894,106.6526316,0.553631579,12.47894737,1.484263158,12.45263158,0.119052632
Temnothorax_crassispinus,Myrmicinae,47.96,281,"Kramer et al., 2014",0,9.297203704,7.571438272,9.527777778,0.874111111,63.24487037,35.47971605,57.27469136,0.556592593,9.025580247,2.245740741,9.454012346,0.251660494
Temnothorax_curvispinosus,Myrmicinae,68.00,102,"Guenard et al., 2016",0,13.52227295,8.579724638,13.9147343,0.693838164,94.31163768,49.3312971,86.80809179,0.531736715,12.15519082,1.613070048,12.18949275,0.133842995
Temnothorax_longispinosus,Myrmicinae,24.32,1077,"Fjerdingstad & Crozier, 2006; Holldobler & Wilson 1990; Blatrix & Herbers, 2003; Geraghty et al., 2007; Kramer et al., 2014; Beckers et al., 1989",0,10.07195652,9.104801932,10.48357488,1.039589372,89.01208696,41.00489372,83.65362319,0.461067633,11.48071498,1.68505314,11.59903382,0.147922705
Temnothorax_nylanderi,Myrmicinae,54.08,1005,"Hammond & Keller, 2004; Kramer et al., 2014; Beckers et al., 1989",0,10.29707389,5.857051724,10.01366995,0.647524631,69.12628818,37.6137069,63.41009852,0.541216749,8.522522167,1.974428571,8.717980296,0.232923645
Temnothorax_palustris,Myrmicinae,50.00,1,"King & Porter, 2007",0,20.234,5.902,20.425,0.29175,120.3465,69.428,111.2,0.578,12.3565,1.536,12.4,0.1245
Temnothorax_pardoi,Myrmicinae,150.00,1,"Parr et al., 2017",0,13.34615789,5.909710526,12.41842105,0.474605263,57.15260526,43.89134211,47.81842105,0.796763158,10.71028947,2.190315789,10.63684211,0.204947368
Temnothorax_rugatulus,Myrmicinae,234.10,71,"Rüppell et al. 2001; Rüppell et al., 1998; Bengston & Dornhaus, 2012; Negroni et al., 2021",0,8.798341991,7.81104329,8.724458874,35.38878355,44.012,37.63706061,33.55367965,0.847450216,14.9832987,2.675367965,15.02316017,0.186463203
Temnothorax_schaumii,Myrmicinae,88.00,2,"Bertelsmeier et al., 2013; Guenard et al., 2016",0,14.27840244,8.412239837,14.6804878,0.657707317,87.24431301,48.72271951,79.05670732,0.585963415,12.46732114,1.613861789,12.4902439,0.130682927
Temnothorax_tuscaloosae,Myrmicinae,54.50,19,"Guenard et al., 2016",0,16.30413043,7.505043478,16.41956522,0.465086957,107.9,54.08556522,100.8391304,0.500478261,12.6343913,1.443086957,12.57391304,0.114217391
Temnothorax_unifasciatus,Myrmicinae,66.83,58,"Brunner&Heinze, 2009; Hammond & Keller, 2004; Walter et al., 2011; Beckers et al., 1989",0,10.63142529,6.375652874,10.43931034,0.744117241,69.86264368,39.57854253,63.57275862,0.575158621,9.167135632,1.966252874,9.380229885,0.21503908
Tetramorium_caespitum,Myrmicinae,10975.00,49,"Brian et al., 1967",0,9.63571399,6.970037306,9.552901554,1.230911917,66.28601244,38.01288394,60.03098446,0.58622487,8.991937824,1.989968912,9.19015544,0.224136788
Tetramorium_forte,Myrmicinae,10000.00,1,"Parr et al., 2017",0,13.87477358,5.880402516,13.07861635,0.441974843,54.28915094,43.68420755,44.1745283,0.813861635,10.46185535,1.977981132,10.39559748,0.188522013
Tetramorium_semilaeve,Myrmicinae,5750.00,2,"Parr et al., 2017; Heatwole & Muir, 1991",0,14.16998621,6.030186207,13.51793103,0.488,55.68980345,41.93116552,46.79189655,0.78627931,9.99432069,1.770141379,10.0062069,0.177296552
Trachymyrmex_arizonensis,Myrmicinae,1000.00,1,"Ferguson-Gow, 2014",0,17.15011429,6.438257143,17.08714286,0.394685714,32.76905714,35.9174,19.62571429,1.097228571,16.36451429,1.985571429,16.44142857,0.121285714
Trachymyrmex_pomonae,Myrmicinae,183.00,1,"Ferguson-Gow, 2014",0,17.1192,6.4224,17.12,0.3874,35.604,40.9366,19.72,1.1438,16.8618,2.184,16.97,0.1296
