valid_species_name,TMPavg_avg,PREavg_avg,DTRavg_avg,poly_id,colony_size
Dolichoderus.pustulatus,10.94439773,88.45395455,11.32121591,0,445
Dorylus.laevigatus,25.092625,235.901375,10.801,1,325000
Dorylus.nigricans,25.72838462,124.8590769,9.504,1,8018400
Dorylus.wilverthi,23.78366667,127.5128333,11.22808333,1,14750000
Dorymyrmex.bicolor,16.58698551,37.37494203,15.21738406,0,10000
Dorymyrmex.biconis,25.434,100.369,8.472,0,5000
Dorymyrmex.bossutus,22.0066,118.6106,11.6278,0,1000
Dorymyrmex.bureni,19.40230909,110.5660364,12.57316364,0,1000
Dorymyrmex.elegans,22.697,114.129,12.113,0,1000
Dorymyrmex.grandulus,16.1131,99.8525,12.0759,0,1000
Eciton.burchellii,23.71891852,175.240637,9.685155556,1,699995
Eciton.hamatum,25.41208333,203.80945,8.884833333,1,250000
Eciton.mexicanum,24.58654,183.5885,9.96118,1,5.00E+05
Eciton.rapax,25.59029167,216.7276667,10.0475,1,275000
Eciton.vagans,24.28021951,201.9809512,9.325146341,1,250000
Ectatomma.brunneum,24.21037594,143.5547293,10.41439098,0,42
Ectatomma.edentatum,23.35688112,140.9647622,10.4178951,0,104
Ectatomma.ruidum,23.47172115,191.9761827,9.859326923,0,81.88
Ectatomma.tuberculatum,24.58301604,177.0805615,9.921262032,0,381.09
Ectomomyrmex.striatulus,22.40185714,231.9121429,10.73385714,0,15
Euponera.fossigera,19.629,85.402,9.19,0,50
Euponera.wroughtonii,15.82828571,66.16128571,13.58242857,0,500
Eurhopalothrix.biroi,22.45833333,223.2336667,12.60466667,0,50
Eurhopalothrix.floridana,21.8158,112.5168,11.6788,0,100
Forelius.mccooki,17.56731053,54.93352105,14.3444,0,10000
Forelius.pruinosus,16.46698851,62.26922414,14.23630747,0,10000
Formica.archboldi,20.08318182,113.6064545,11.84181818,0,500
Formica.argentea,8.084123223,58.95130332,13.65518957,0,51
Formica.candida,0.381928571,43.47416667,12.42540476,0,2318.18
Formica.cunicularia,10.20095149,62.10889179,9.180014925,0,1250
Formica.dolosa,15.02221839,99.22997701,12.40787356,0,499
Formica.fusca,8.255684039,64.68788599,10.08549186,0,379.5
Formica.incerta,9.053304348,90.69456522,11.29782609,0,714
Formica.japonica,11.43697826,109.7087609,10.08269565,0,2495
Formica.neorufibarbis,3.924851852,52.84502694,12.83226599,0,150
Formica.pallidefulva,12.43470543,83.83963178,12.30719767,0,2209.54
Formica.picea,5.314381818,63.40721818,9.079763636,0,650
Formica.podzolica,3.979530435,44.24046087,13.57261739,1,22500
Formica.selysi,10.15028571,79.85271429,8.775714286,1,13184
Formica.subsericea,8.619257732,77.39308591,11.73695189,1,8916
Gnamptogenys.horni,24.51437079,193.1674494,9.822988764,0,28
Heteroponera.relicta,23.177,117.16825,9.501,0,80
Hypoponera.eduardi,14.47495,61.7224625,10.0977125,0,1500
Hypoponera.inexorata,18.19904167,72.25229167,14.01879167,0,31
Hypoponera.opaciceps,19.85739,111.52826,11.70798,0,50
Hypoponera.opacior,17.44435577,98.82591346,12.76307692,0,50
Hypoponera.ragusai,19.81332143,70.90135714,10.50882143,0,32
Iridomyrmex.purpureus,18.03392373,45.20409605,13.52922881,1,84133.4
Kalathomyrmex.emeryi,21.70266667,73.94827778,12.41966667,0,100
Labidus.coecus,22.68586344,141.9065639,10.68892511,1,1.00E+06
